Error al procesar cliente 4, tipo no valido: vip
Error al procesar cliente 440, tipo no valido: vip
Error al procesar cliente 441, tipo no valido: vip
Error al procesar cliente 442, tipo no valido: incorrecto
Error al procesar cliente 443, tipo no valido: vip
Error al procesar cliente 445, tipo no valido: incorrecto
Error al procesar cliente 446, tipo no valido: vip
Error al procesar cliente 450, tipo no valido: vip
Error al procesar cliente 451, tipo no valido: incorrecto
Error al procesar cliente 453, tipo no valido: vip
Error al procesar cliente 457, tipo no valido: incorrecto
Error al procesar cliente 458, tipo no valido: incorrecto
Error al procesar cliente 459, tipo no valido: vip
Error al procesar cliente 460, tipo no valido: vip
Error al procesar cliente 461, tipo no valido: vip
Error al procesar cliente 469, tipo no valido: vip
Error al procesar cliente 470, tipo no valido: incorrecto
Error al procesar cliente 472, tipo no valido: vip
Error al procesar cliente 475, tipo no valido: incorrecto
Error al procesar cliente 481, tipo no valido: incorrecto
Error al procesar cliente 482, tipo no valido: vip
Error al procesar cliente 483, tipo no valido: vip
Error al procesar cliente 487, tipo no valido: vip
Error al procesar cliente 488, tipo no valido: incorrecto
Error al procesar cliente 491, tipo no valido: incorrecto
Error al procesar cliente 492, tipo no valido: incorrecto
Error al procesar cliente 495, tipo no valido: vip
Error al procesar cliente 497, tipo no valido: vip
